Compound,Date,Negative,Neutral,Positive,Source Account,Text
0.5719,2018-06-23 17:06:01+00:00,0.0,0.821,0.179,@BBC,☀️🙌 Thousands of people gathered at Stonehenge this week to watch the sunrise and celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK
0.7412,2018-06-23 16:02:02+00:00,0.0,0.614,0.386,@BBC,"⚽🐝 Goal!!!
These clever bumblebees have been taught to play football. https://t.co/00fEPKxEYQ"
0.4019,2018-06-23 15:00:27+00:00,0.0,0.847,0.153,@BBC,"📱♿️ This 13-year-old made an app to help disabled people find accessible services. 
(via @BBCThree) https://t.co/EkjrhQOFi3"
0.0,2018-06-23 14:02:01+00:00,0.0,1.0,0.0,@BBC,"Unlocking the hidden life of Frida Kahlo.
👉 https://t.co/g8KqGCs5JX https://t.co/SyRnFXRvNQ"
0.0,2018-06-23 12:57:05+00:00,0.0,1.0,0.0,@BBC,"🎶🎤Meet the stockbroker who writes hits for @LittleMix and @JessGlynne 

https://t.co/zYl0M4CHcj https://t.co/s8HYxwiDKr"
0.0,2018-06-23 12:00:16+00:00,0.0,1.0,0.0,@BBC,"🎶 SOUND ON 🎶 
Below the big blue there is green! 💚
#OurBluePlanet w/ @OceanX https://t.co/E46jJvtmrN"
0.0,2018-06-23 11:01:06+00:00,0.0,1.0,0.0,@BBC,"Faced with extreme weather, Bolivian farmers are going underground.
#BBCTakingTheTemperature https://t.co/ocATWI0jPL"
0.0,2018-06-23 10:02:04+00:00,0.143,0.675,0.183,@BBC,"The ban on microbeads in certain products has begun in England and Scotland.

Here are some natural alternatives so… https://t.co/vqESNyr5qD"
0.0,2018-06-23 09:01:05+00:00,0.0,1.0,0.0,@BBC,"😍🐿 Baby squirrels grow up so fast! 
#SuperSquirrels https://t.co/NzSE4lUIC8"
0.2732,2018-06-23 07:59:02+00:00,0.0,0.86,0.14,@BBC,There has been a significant fall in the number of cases of HPV following the introduction of a vaccine for young w… https://t.co/19trkIMZ91
0.0,2018-06-23 07:22:00+00:00,0.0,1.0,0.0,@BBC,"♻️🌍Small actions can make a big difference. 
#PlasticsAction

https://t.co/AWXUYNJ4e3 https://t.co/9Khy2bq19Z"
0.6369,2018-06-22 19:11:28+00:00,0.0,0.741,0.259,@BBC,"RT @BBCBreakfast: So many reasons to love the #NorthEast of #England.
#Inventions https://t.co/xVseuMG347"
0.25,2018-06-22 19:11:15+00:00,0.0,0.913,0.087,@BBC,"RT @bbcworldservice: Born without a jaw, Isaiah Acosta has never spoken a word, yet he’s gone on to fulfil his dream of becoming a rapper.…"
0.0,2018-06-22 19:10:41+00:00,0.0,1.0,0.0,@BBC,"RT @bbcstories: Today marks 70 years since the arrival of Caribbean migrants on the Empire Windrush ship to the UK.

 Back in 2018, how has…"
